Spackle,st_diff
0.809,0.811
0.756,0.583
0.981,0.769
0.669,0.456
0.733,0.456
0.621,0.479
0.638,0.509
0.201,0.159
0.219,0.089
0.615,0.505
0.94,0.26
0.524,0.348
0.836,0.426
0.712,0.537
0.683,0.524
0.891,0.605
1.9,1.129
0.822,0.546
0.783,0.625
0.663,0.431
0.666,0.703
0.491,0.311
0.7,1.101
